;Adresse :;Activité :;Effectif :;Création :;Dirigeants :;SIREN :;SIRET (siège) :;Forme juridique :;Numéro de TVA:;Inscription au RCS :;Numéro RCS :;Capital social :;Activité principale déclarée :;Code NAF ou APE :;Domaine d’activité :;Dirigeant :;Capital variable (minimum) :;Convention collective  :;Inscription au RNA :;Identifiant association :;Objet de l'association :;Statut INSEE :
assemblee_virtuelle;2 RUE DE LA CLOTURE 75019 PARIS 19;Autres organisations fonctionnant par adhésion volontaire;Au moins 1 salarié  (donnée 2023);31/05/2011;;793 289 166;793 289 166 00050;Association déclarée;FR58793289166;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 31/05/2011;W751210330;"L'association assemblée virtuelle a pour objet le développement de communs au service du monde de la transition ; son objectif est de mettre les technologies et méthodologies du peer to peer au service d'une (nécessaire) métamorphose de nos modes d'organisation, de production, d'échange et de consommation ; ces technologies sont à la fois numériques, sociales et culturelles ; l'association se développe à travers les principes d'intervention suivants : - la recherche-action autour des architectures distribuées (technologies, méthodologies au service des organisations en réseau) ; - la conception et le prototypage collaboratifs de projets s'inscrivant dans le champ de la transition ; - l'incubation et/ou l'accompagnement des acteurs souhaitant s'inscrire dans des démarches de transition ; - la sensibilisation du grand public ainsi que le plaidoyer auprès des décideurs ; - l'organisation d'événements et de manifestations ; et, d'une façon générale, la mise en uvre de tous moyens susceptibles de favoriser son objet social ; l'ensemble des actions menées par l'assemblée virtuelle est produit et partagé, de manière irrévocable, sous licence libre, dans le respect de son #codesocial ; elles visent à étendre le champ des communs ;";
madeinvote;84 QUAI DES CHARTRONS 33300 BORDEAUX;Études de marché et sondages;Entre 6 et 9 salariés  (donnée 2020);05/07/2016;;821 466 877;821 466 877 00049;SASU, société par actions simplifiée unipersonnelle;FR19821466877;INSCRIT (au greffe de BORDEAUX, le 18/09/2019);821 466 877 R.C.S. Bordeaux;32 502,00 €;Etudes de marché et sondages, exploitation d'une plateforme internet;73.20Z (Études de marché et sondages);Publicité et études de marché;Guillaume DAVID;;;;;;
wesignit;22 B RUE DE LA REUNION 75020 PARIS 20;Autres organisations fonctionnant par adhésion volontaire;Entre 1 et 2 salariés  (donnée 2020);09/11/2015;;827 808 734;827 808 734 00012;Association déclarée;FR10827808734;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 09/11/2015;W751231530;Développer la démocratie, la participation et la mobilisation citoyenne via le digital, le numérique et l'innovation afin d'accélérer la transition démocratique vers une société plus ouverte et plus fluide;
mieuxvoter;59 RUE SAINT ANDRE DES ARTS 75006 PARIS 6;Autres organisations fonctionnant par adhésion volontaire;0 salarié  (donnée 2023);09/01/2018;;839 163 268;839 163 268 00015;Association déclarée;FR25839163268;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 09/01/2018;W751242879;"Sensibiliser aux défauts de nos systèmes de vote et promouvoir le jugement majoritaire, issu d'une nouvelle théorie du vote et du choix social, comme le meilleur outil des choix collectifs ; inciter à l'utilisation du jugement majoritaire pour procéder aux élections et scrutins de toute nature (politiques, professionnelles, sociales, culturelles, sportives etc ; ) , à toutes échelles (nationale, régionale, locale etc ; ) , dans tous les milieux (écoles, entreprises, associations, collectivités publiques etc ; ) et sur tous les sujets ; uvrer à l'instauration légale du scrutin au jugement majoritaire pour l'élection du Président de la République française";
kawaa;24 AV DAUMESNIL 75012 PARIS 12;Autres services personnels n.c.a.;0 salarié  (donnée 2023);05/03/2014;Kevin André, CONCENTIO,;801 056 896;801 056 896 00021;SAS, société par actions simplifiée;FR65801056896;INSCRIT (au greffe de PARIS, le 16/09/2020);801 056 896 R.C.S. Paris;4 063,80 €;La société a pour finalité de contribuer au développement et à la préservation du lien social.;96.09Z (Autres services personnels n.c.a.);Autres services personnels;;;;;;;
ciwik;13 RUE DU GUELMEUR 29200 BREST;Édition et diffusion de programmes radio;0 salarié;02/05/2016;Olivier LUCAS, Sébastien LE GOASCOZ, Paul-Alexis MEYER;820 894 541;820 894 541 00029;SAS, société par actions simplifiée;FR08820894541;INSCRIT (au greffe de BREST, le 16/06/2016);820 894 541 R.C.S. Brest;996 400,00 €;Exercice de toutes activités se rapportant à la radio diffusion et la télé diffusion, revues ou périodiques, gestion de sites internet et de tous éléments de communication, agence de presse, édition et conception de supports publicitaires.;60.10Z (Édition et diffusion de programmes radio);Programmation et diffusion;;10 000,00 €;;;;;
data_for_good;9 RUE D ALEXANDRIE 75002 PARIS 2;Autres organisations fonctionnant par adhésion volontaire;0 salarié  (donnée 2023);07/06/2018;;840 436 638;840 436 638 00018;Association déclarée;FR81840436638;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 07/06/2018;W751244937;Utilisation de la technologie pour l'intérêt général;
digiworks;72 RUE DE LA REPUBLIQUE 76140 LE PETIT-QUEVILLY;Programmation informatique;Entre 10 et 19 salariés  (donnée 2020);01/11/2008;;508 128 055;508 128 055 00037;SASU, société par actions simplifiée unipersonnelle;FR77508128055;INSCRIT (au greffe de ROUEN, le 30/09/2008);508 128 055 R.C.S. Rouen;34 119,00 €;Conseil en communication, formation, marketing, édition, événementiel, vidéo, colloques, séminaires, études de marché, voyages d'études, incentive, création de sketches, rédaction de livres et d'articles, relations presse, identité visuelle, supports de communication, études touristiques, animation, conception de jeux, conférences.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;Alexandre REYMONET;;;;;;
equivote_myopencity;8 RUE CECILE BRUNSCHVICG 31200 TOULOUSE;Conseil en relations publiques et communication;0 salarié  (donnée 2023);13/05/2015;Jérémy SIMONKLEIN, Sébastien GAREL;811 947 324;811 947 324 00018;SAS, société par actions simplifiée;FR03811947324;RADIÉ (du greffe de TOULOUSE, le 27/02/2019);811 947 324 R.C.S. Toulouse;1 500,00 €;Mise en place et exploitation d'un site internet relatif à la collecte d'opinions en rapport à la démocratie participative en ligne. Service de communication et service participatif d'information et de communication citoyenne en ligne, de collecte et de partage d'opinions.;70.21Z (Conseil en relations publiques et communication);"Activités des sièges sociaux ; conseil de gestion";;;;;;;ACTIF
make;13 RUE DE LA BUCHERIE 75005 PARIS 5;Conseil en relations publiques et communication;0 salarié  (donnée 2023);04/04/2016;AXEL DAUCHEZ SARL, SOCIETE D'ETUDES FINANCIERES ET D'AUDIT COMPTABLE - SEFAC SOCIETE D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES, Philippe Blin;820 016 095;820 016 095 00045;SAS, société par actions simplifiée;FR63820016095;INSCRIT (au greffe de PARIS, le 29/04/2016);820 016 095 R.C.S. Paris;1 056 017,00 €;La communication auprès du grand public d'informations à caractère politique, au niveau local, national ou international. La gestion de sites internet à vocation informative destinée au grand public.;70.21Z (Conseil en relations publiques et communication);"Activités des sièges sociaux ; conseil de gestion";;;;;;;
kohero;17 RUE DES TUILERIES 69009 LYON 9EME;Portails Internet;0 salarié  (donnée 2020);13/06/2018;Philippe MELI, Pauline BILLET;840 417 430;840 417 430 00013;SAS, société par actions simplifiée;FR75840417430;RADIÉ (du greffe de LYON, le 28/09/2020);840 417 430 R.C.S. Lyon;8 000,00 €;Favoriser l'action citoyenne et la démocratie participative par la création et l'animation d'une plateforme numérique. vendre l'accès à cette plateforme et son utilisation à des tiers. former ou conseiller toute personne morale ou physique sur tout sujet lié à son activité et à l'utilisation de sa plateforme;63.12Z (Portails Internet);Services d'information;;;;;;;
openagora;2 RUE DE LA MABILAIS 35000 RENNES;Programmation informatique;0 salarié  (donnée 2020);17/01/2017;Christophe MORVAN, Olivier BACHE, Benoit MASSON;825 109 465;825 109 465 00021;SAS, société par actions simplifiée;FR54825109465;RADIÉ (du greffe de RENNES, le 28/02/2022);825 109 465 R.C.S. Rennes;120 500,00 €;"La conception et la mise à disposition de solutions en ligne d'aide à la prise de décision collective ; la conception et la mise à disposition de solutions collaboratives.";62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;;;;;;;
moneparti;CHATEAU DE VIXOUZE 15800 POLMINHAC;Activités des agences de presse;0 salarié  (donnée 2020);18/06/2015;;812 025 203;812 025 203 00025;SARL, société à responsabilité limitée;FR64812025203;RADIÉ (du greffe d'AURILLAC, le 13/02/2020);812 025 203 R.C.S. Aurillac;125 815,00 €;Conception, analyses, production, duplication et diffusion d'informations politiques ainsi que toutes actions de média et de communication audio visuelle et internet;63.91Z (Activités des agences de presse);Services d'information;Serge PILICER;;;;;;
nousrassemble;21 PL DE LA REPUBLIQUE 75003 PARIS 3;Édition de logiciels applicatifs;0 salarié  (donnée 2018);01/09/2014;;805 016 284;805 016 284 00012;SAS, société par actions simplifiée;FR94805016284;RADIÉ (du greffe de PARIS, le 20/08/2018);805 016 284 R.C.S. Paris;15 000,00 €;Conception, édition et maintenance de logiciels informatiques;58.29C (Édition de logiciels applicatifs);Édition;Grégory Bertrand;;;;;;
bittle;235 RUE DENIS PAPIN 13857 AIX EN PROVENCE CEDEX 3;Édition de logiciels applicatifs;0 salarié  (donnée 2019);23/11/2009;Michel ROUX, Christophe SUFFYS, Pierre MOUGIN, SIPAREX PROXIMITE INNOVATION, ADLINK AUDIT, Lauriane GERARDS-COTTIN;518 331 095;518 331 095 00027;SAS, société par actions simplifiée;FR71518331095;RADIÉ (du greffe d'AIX-EN-PROVENCE, le 04/11/2022);518 331 095 R.C.S. Aix-en-provence;199 746,25 €;Édition de logiciels applicatifs.;58.29C (Édition de logiciels applicatifs);Édition;;;;;;;
marston_massiet;14 RUE CHARLES-V 75004 PARIS 4;Production de films et de programmes pour la télévision;Au moins 1 salarié  (donnée 2023);24/03/2021;;897 993 234;897 993 234 00011;SASU, société par actions simplifiée unipersonnelle;FR72897993234;INSCRIT (au greffe de PARIS, le 08/04/2021);897 993 234 R.C.S. Paris;1 000,00 €;Écriture, production audiovisuelle, production et réalisation d'émissions, directs, VOD, podcast, radiophonique. Acquisition, exploitation, distribution, édition, diffusion de toutes œuvres. Gestion de droits d'auteurs. Gestion de partenariats, opérations d'apporteurs d'affaires et de commissionnement. Journalisme, pige, rédaction, édition et diffusion de toutes œuvres. Diffusion de site internet et leur développement.;59.11A (Production de films et de programmes pour la télévision);"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale";Jean Massiet du Briest;;;;;;
democratieouverte;84 AV DE LA REPUBLIQUE 75011 PARIS 11;Autres organisations fonctionnant par adhésion volontaire;0 salarié  (donnée 2023);01/08/2014;;803 774 033;803 774 033 00036;Association déclarée;FR81803774033;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 30/01/2013;W751218313;"Démocratie ouverte est un collectif dacteurs engagés dans la promotion et lexpérimentation de modes de gouvernance transparents, participatifs et collaboratifs ; lassociation est un laboratoire et un centre de ressources indépendant et citoyen ; elle accompagne le grand public et les acteurs sociaux et institutionnels dans leur participation à ces formes de gouvernance ouverte ; elle cherche à accélérer la transition démocratique, vers une société plus ouverte";
koom;40 RUE GASTON PAYMAL 92110 CLICHY;Portails Internet;0 salarié  (donnée 2023);28/06/2011;;533 421 152;533 421 152 00059;SAS, société par actions simplifiée;FR51533421152;INSCRIT (au greffe de NANTERRE, le 04/09/2020);533 421 152 R.C.S. Nanterre;6 000,00 €;Geolocalisation, services lies au bénévolat, collecte et traitement de données, actions a dimension éducative.;63.12Z (Portails Internet);Services d'information;Jérôme Lhote;;;;;;
purpoz;18 AV PARMENTIER 75011 PARIS 11;Autres organisations fonctionnant par adhésion volontaire;0 salarié  (donnée 2020);02/06/2017;;831 212 741;831 212 741 00019;Association déclarée;FR65831212741;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 02/06/2017;W751239871;Remédier à la triple crise que traverse aujourd'hui la démocratie représentative française, crise d'efficacité des politiques publiques, crise de légitimité des lois produites, et crise de confiance des citoyens envers leurs représentants;
reperage_urbain;210 RUE SAINT MAUR 75010 PARIS 10;Recherche-développement en sciences humaines et sociales;Entre 3 et 5 salariés  (donnée 2020);07/10/2004;;479 228 710;479 228 710 00014;SARL, société à responsabilité limitée;FR60479228710;INSCRIT (au greffe de PARIS, le 28/10/2004);479 228 710 R.C.S. Paris;5 000,00 €;Étude et conseil, en sociologie, urbanisme, aménagement et développement local production d'outils de communication dont films vidéos;72.20Z (Recherche-développement en sciences humaines et sociales);Recherche-développement scientifique;ERIC HAMELIN;;;;;;
regardscitoyens;10 CHE TRICOU 31200 TOULOUSE;Autres organisations fonctionnant par adhésion volontaire;0 salarié  (donnée 2023);15/07/2013;;801 998 444;801 998 444 00013;Association déclarée;FR69801998444;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 09/06/2010;W691076577;Promouvoir par la pratique le libre accès aux données publiques et leur réutilisation, notamment pour des usages citoyens ou de contrôle des institutions;
D21;23 RUE JEAN JACQUES ROUSSEAU 75001 PARIS 1;Conseil pour les affaires et autres conseils de gestion;Au moins 1 salarié  (donnée 2023);26/10/2017;;833 097 801;833 097 801 00017;EURL, entreprise unipersonnelle à responsabilité limitée;FR48833097801;RADIÉ (du greffe de PARIS, le 17/01/2022);833 097 801 R.C.S. Paris;100,00 €;L'aide à la concertation et la prise de décision d'un groupe en intégrant la participation publique dans la prise de décision. La création d'outils technologiques et la fourniture de prestations de conseils dans le domaine du vote, du sondage, de la délibération et la Priorisation.;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";Andrew Gray;;;;;;ACTIF
IDcity;PARC MENEZ 29900 CONCARNEAU;Programmation informatique;Entre 6 et 9 salariés  (donnée 2020);19/05/2015;;811 548 759;811 548 759 00018;SAS, société par actions simplifiée;FR27811548759;INSCRIT (au greffe de QUIMPER, le 27/05/2015);811 548 759 R.C.S. Quimper;1 000,00 €;Prestation de services, édition et commercialisation de solutions dans le domaine informatique;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;Antoine JESTIN;;;;;;
Stig;114 RUE DE GRANGE 79000 NIORT;Programmation informatique;0 salarié  (donnée 2023);20/09/2015;CONNORS SAS, Geoffroy MICHEL;813 756 194;813 756 194 00037;SAS, société par actions simplifiée;FR45813756194;INSCRIT (au greffe de NIORT, le 11/10/2022);813 756 194 R.C.S. Niort;35 000,00 €;Édition, développement et exploitation de sites internet et applications mobiles de démocratie participative sur tous supports.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;;;;;;;
opensourcepolitics;32 RUE DES CASCADES 75020 PARIS 20;Portails Internet;Entre 10 et 19 salariés  (donnée 2020);12/05/2016;Olivier Buchotte, Valentin Chaput;820 412 161;820 412 161 00011;SARL, société à responsabilité limitée;FR11820412161;INSCRIT (au greffe de PARIS, le 20/05/2016);820 412 161 R.C.S. Paris;5 000,00 €;Outils et méthodes de démocratie en ligne (logiciels, sites internet, dispositifs de concertation et de vote dématérialisés) et hors ligne (réunions, colloques, séminaires, ateliers d'intelligence collective).;63.12Z (Portails Internet);Services d'information;;;;;;;
GOV;48 RUE DE PROVENCE 75009 PARIS 9;Programmation informatique;0 salarié  (donnée 2019);22/04/2014;;801 906 033;801 906 033 00015;SAS, société par actions simplifiée;FR62801906033;RADIÉ (du greffe de PARIS, le 12/06/2020);801 906 033 R.C.S. Paris;1 674,00 €;Développement et mise en service d'applications mobiles - ventes d'espaces publicitaires.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;Pierre-Alexandre Teulié;;;;;;
veritepol;30 RUE JULES FERRY 64200 BIARRITZ;Autres organisations fonctionnant par adhésion volontaire;0 salarié  (donnée 2023);30/06/2015;;819 027 491;819 027 491 00011;Association déclarée;FR26819027491;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 30/06/2015;W641007002;D'impulser et promouvoir de nouvelles formes de politique collaborative, le concept recouvre de manière générale une prise en main de la réflexion politique par le citoyen, en particulier à destination de la jeunesse, une forme de démocratie directe et participative, notamment via internet, l'association a également vocation à servir de caisse de résonance, de relais et d'appui à toutes initiatives (blogs, sites, collectifs, associations?) s'inscrivant dans une logique commune, afin de créer des synergies et d'accroître la visibilité de chacun - l'association est apolitique;
fluicity;17 RUE MESLAY 75003 PARIS 3;Programmation informatique;0 salarié  (donnée 2023);10/07/2015;Julie De La Vallee De Rarecourt De Pimodan, Nicolas de Briey, Jonathan Meiss;812 620 318;812 620 318 00020;SAS, société par actions simplifiée;FR27812620318;INSCRIT (au greffe de PARIS, le 21/07/2015);812 620 318 R.C.S. Paris;41 190,00 €;Le développement et l'exploitation de plate formes internet intégrées visant à permettre aux collectivités locales d'impliquer leurs administrés dans le processus de prise de décisions et d'échanger avec d'autres collectivités sur des retours d'expériences en terme de décision d'investissement ou de gestion.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;;;;;;;
civocracy;84 RUE DELEUVRE 69004 LYON 4EME;Portails Internet;Au moins 1 salarié  (donnée 2023);09/10/2020;;890 397 375;890 397 375 00019;SAS, société par actions simplifiée;FR26890397375;INSCRIT (au greffe de LYON, le 27/10/2020);890 397 375 R.C.S. Lyon;8 079,68 €;Promouvoir des formes de discussions collaboratives et encourager toutes formes d'engagement civique par le biais en autre du développement et de l'exploitation d'une plateforme en ligne.;63.12Z (Portails Internet);Services d'information;Chloé PAHUD;;;;;;
